"perspectives","archetypeInstanceId","precomputedtypename","name","status","lastModifiedDate","createdDate","adoptionUUID","bufferBack","bufferBottom","bufferFront","bufferLeft","bufferRight","bufferTop","convertedUnit","depth","deviceName","dimensionPrecision","dimensionUnit","height","width","portNumber","positionsContained","positionsUsed","role","tmf639_dataSource_ingestion_uuid","tmf_lifecycleState"
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","258688516053722165","Waveserver 5","WS2_OPTICS 8581","Planned","1695051905623","1693581996859","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554621172","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","WS2_OPTICS 8581","2","inch","3.504","18.88","","","","[""Optical""]","20589d52-8667-4f6f-a962-c1caf5783593",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1105801","Generic PDH (ANSI) Mux","ANSI 2 TDM 9692","Planned","1695051905623","1693582019334","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554621234","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","ANSI 2 TDM 9692","2","inch","1.752","19","28","","1","[""PDH""]","27aa9659-c25a-4c64-969f-c38faf72d9fa",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1173","OME 6500 14 Slot","OME 2 TDM 6681","Planned","1695051905623","1693582406667","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554623975","0.0","0.0","0.0","0.0","0.0","0.0","inch","12.0","OME 2 TDM 6681","2","inch","22.776","17.3","0","1","13","[""Optical""]","9e97b0ad-b718-44da-aec9-45759a5d68b5",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 1 ASR 9001 597","Planned","1693584015645","1693582747737","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554625412","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 1 ASR 9001 597","2","inch","3.504","17.42","0","1","2","[""OTN""]","d318150b-782e-4738-a7c5-cbffd7473e00",""
"[""Plan"", ""Live/Plan merge""]","1141","Generic Device","GENERIC 2470","Planned","1693582998752","1693582998609","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554626977","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","GENERIC 2470","2","inch","1.752","23.0","0","0","1","[]","56634ccd-789c-45d4-a36b-19ad9d1562e7",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1104001","CISCO ONS 15454","COPIED CISCO ONS 15454 8350","Planned","1695051905623","1693583045633","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554627328","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","COPIED CISCO ONS 15454 8350","2","inch","12.264","12.25","","","7","[""SDH""]","86cdc836-a887-451c-ab66-42871ad7334b",""
"[""Plan"", ""Operational"", ""Non-plan"", ""Live/Plan merge""]","1101","OME 6500 7 Slot","TEST DEVICE #5127","In Service","1695051905623","1693584021378","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554631941","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST DEVICE #5127","2","inch","10.512","19.0","0","1","6","[""OTN""]","3a525586-1819-4f5b-a483-8ad09295bc4a",""
"[""Plan"", ""Live/Plan merge""]","1130302","Generic CPE","TEST GENERIC CPE 4106","Planned","1693584169621","1693584089807","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554632045","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST GENERIC CPE 4106","2","inch","0.0","19","3","0","0","[""Compute""]","95c118dc-43b4-47c8-837e-f0ed5c34aff6",""
"[""Plan"", ""Live/Plan merge""]","1141","Generic Device","GENERIC 1861","Planned","1693584325751","1693584229259","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554632862","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","GENERIC 1861","2","inch","1.752","23.0","0","0","1","[]","18ff58bb-3ac6-4087-b646-bb020fb2168f",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1101","OME 6500 7 Slot","OME1 5341","Planned","1695051905623","1693584387565","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554633549","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","OME1 5341","2","inch","10.512","19.0","0","1","6","[""Optical""]","a58af97b-fa22-423d-9d86-dfbbc19a4fc8",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1104001","CISCO ONS 15454","CISCO 1 CROSS 5772","Planned","1695051905623","1693584860498","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554634472","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","CISCO 1 CROSS 5772","2","inch","12.264","12.25","","","7","[""SDH""]","e622b822-e6d1-4cc8-8e47-aa55e9ef14b6",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1101","OME 6500 7 Slot","OME2 4751","Planned","1695051905623","1693584966675","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554635107","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","OME2 4751","2","inch","10.512","19.0","0","1","6","[""Optical""]","9d0056d7-b5a5-45a7-bad1-411b5cd87e81",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","ASR DEVICE A 9103","Planned","1695051905623","1693585251552","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554636466","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","ASR DEVICE A 9103","2","inch","3.504","17.42","0","1","2","[""OTN""]","5a4646a2-ec00-43dd-bcd2-732bb7ce95e6",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","ASR DEVICE Z 3690","Planned","1695051905623","1693585378195","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554636951","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","ASR DEVICE Z 3690","2","inch","3.504","17.42","0","1","2","[""OTN""]","f557b360-0b4c-491a-902e-4b3d7b53cd06",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1105704","Generic PDH (ETSI) Mux","ETSI 2 CROSS 8252","Planned","1695051905623","1693585405765","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554637012","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","ETSI 2 CROSS 8252","2","inch","1.752","19","36","","1","[""PDH""]","d9188bec-e02d-439f-8a4e-a91639b68ad9",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1667","Waveserver Ai","WS1 2086","Planned","1695051905623","1693585574954","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441689554637496","0.0","0.0","0.0","0.0","0.0","0.0","inch","23.62","WS1 2086","2","inch","1.752","17.4","0","1","1","[""Optical""]","403386c8-919e-44e2-a58f-1af1e078726c",""
"[""Plan"", ""Operational"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 1 ASR 9001 2783","In Service","1693580441165","1693579829964","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441758274089548","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 1 ASR 9001 2783","2","inch","3.504","17.42","0","1","2","[""OTN""]","9f51180d-09cf-4769-b63c-641a7e9a057f",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 2 ASR 9001 5408","Planned","1695051905623","1693579864715","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441758274089710","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 2 ASR 9001 5408","2","inch","3.504","17.42","0","1","2","[""OTN""]","34fdb4f7-a201-4705-a94e-20f01cd3f884",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 2 ASR 9001 9600","Planned","1695051905623","1693580016746","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441758274090808","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 2 ASR 9001 9600","2","inch","3.504","17.42","0","1","2","[""OTN""]","6569411f-d4ae-4d66-ba5d-f548aae37386",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1104001","CISCO ONS 15454","TEST DEVICE1 CISCO ONS 15454 7048","Planned","1695051905623","1693580109993","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441758274091195","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST DEVICE1 CISCO ONS 15454 7048","2","inch","12.264","12.25","","","7","[""SDH""]","501963b4-491a-4cec-a368-dd284c83eedd",""
"[""Plan"", ""Live/Plan merge""]","150556","Aviat ODU v2","AVIAT ODU V2-1 1164","Planned","1693581311744","1693581049993","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441758274094397","0.0","0.0","0.0","0.0","0.0","0.0","inch","7.0","AVIAT ODU V2-1 1164","2","inch","1.752","9.0","1","0","1","[]","e6a47e48-4a35-486c-92ab-2d17394cd7e7",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 1 ASR 9001 7903","Planned","1695051905623","1693579738384","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441895713042607","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 1 ASR 9001 7903","2","inch","3.504","17.42","0","1","2","[""OTN""]","2ce9aaa0-810e-4b7a-9568-f2673e5fd766",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","255988116976858657","Ciena 6500-R4","CIENA 6500-R4_OPTICS1_5399","Planned","1695051905623","1693579753338","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441895713042640","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","CIENA 6500-R4_OPTICS1_5399","2","inch","7.008","17.48","","","","[""Optical""]","06f94a52-27a6-44d5-b0ca-dc961f48d183",""
"[""Plan"", ""Live/Plan merge""]","190873","Generic Antenna","GENERIC ANTENNA 1760","Planned","1693580088361","1693580088292","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441895713044629","0.0","0.0","0.0","0.0","0.0","0.0","","5","GENERIC ANTENNA 1760","2","inch","1","10","","","","[]","d3346069-c95e-4d7d-abc8-3fefe8df05f3",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 1 ASR 9001 7597","Planned","1695051905623","1693580535646","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441895713046614","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 1 ASR 9001 7597","2","inch","3.504","17.42","0","1","2","[""OTN""]","bf09f932-6e9a-4b75-90a1-e36ada77414c",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","DEVICE 1 ASR 9001 6504","Planned","1695051905623","1693580569829","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441895713046694","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","DEVICE 1 ASR 9001 6504","2","inch","3.504","17.42","0","1","2","[""OTN""]","18ac67e6-eff9-4333-851b-86071f19879b",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 2 ASR 9001 8015","Planned","1695051905623","1693580600733","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258441895713046782","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 2 ASR 9001 8015","2","inch","3.504","17.42","0","1","2","[""OTN""]","ad5a370f-c484-4099-a45e-1680b3975dc2",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 1 ASR 9001 5886","Planned","1695051905623","1693579767515","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627286800","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 1 ASR 9001 5886","2","inch","3.504","17.42","0","1","2","[""OTN""]","70df6930-774c-4e7a-9a3d-7c8232892033",""
"[""Plan"", ""Live/Plan merge""]","190873","Generic Antenna","GENERIC ANTENNA 7240","Planned","1693579776209","1693579775903","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627286833","0.0","0.0","0.0","0.0","0.0","0.0","","5","GENERIC ANTENNA 7240","2","inch","1","10","","","","[]","df5969ac-7771-49a6-b6b1-a0ef9a8139fa",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 1 ASR 9001 5586","Planned","1695051905623","1693579898711","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627287325","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 1 ASR 9001 5586","2","inch","3.504","17.42","0","1","2","[""OTN""]","333a0559-8e6d-4f9d-9d3a-7e61c459c06f",""
"[""Plan"", ""Live/Plan merge""]","94681487423814366","Ciena-5164","TEST DEVICE2 CIENA-5164 7249","Planned","1693581259315","1693580261034","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627289534","0.0","0.0","0.0","0.0","0.0","0.0","inch","17.5","TEST DEVICE2 CIENA-5164 7249","2","inch","1.752","17.5","","","","[]","08db7617-b0b2-4636-83e7-26297290ebb2",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","JOIN DEVICE 2 ASR 9001 6542","Planned","1695051905623","1693580419699","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627290019","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","JOIN DEVICE 2 ASR 9001 6542","2","inch","3.504","17.42","0","1","2","[""OTN""]","ff71361f-4d5f-4500-a856-3400ea8943a8",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","255988116976858657","Ciena 6500-R4","CIENA 6500-R4_OPTICS2_1312","Planned","1695051905623","1693580609138","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627290913","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","CIENA 6500-R4_OPTICS2_1312","2","inch","7.008","17.48","","","","[""Optical""]","199cf028-6c51-4c11-a5ec-c3fab516501e",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","JOIN DEVICE 4 ASR 9001 9383","Planned","1695051905623","1693580676572","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627291029","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","JOIN DEVICE 4 ASR 9001 9383","2","inch","3.504","17.42","0","1","2","[""OTN""]","fdd8c497-11ff-476a-918e-0aac0af9f6ea",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","DEVICE 2 ASR 9001 4875","Planned","1695051905623","1693580690354","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627291064","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","DEVICE 2 ASR 9001 4875","2","inch","3.504","17.42","0","1","2","[""OTN""]","a1fa727c-f97d-4582-8d26-725ceea8f25b",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 1 ASR 9001 159","Planned","1693580858040","1693580690616","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627291101","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 1 ASR 9001 159","2","inch","3.504","17.42","0","1","2","[""OTN""]","8fc23c88-7b16-46e6-8c80-adb1b06998a8",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1104001","CISCO ONS 15454","CISCO 2 TDM 2734","Planned","1695051905623","1693581583780","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627293955","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","CISCO 2 TDM 2734","2","inch","12.264","12.25","","","7","[""SDH""]","8458ca2f-0193-4e5c-9bd2-6578895e10b2",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 2 ASR 9001 9551","Planned","1693581706192","1693581594845","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627294007","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 2 ASR 9001 9551","2","inch","3.504","17.42","0","1","2","[""OTN""]","04a4fad8-86fc-4ea7-af20-ad2210fb8c2c",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1104001","CISCO ONS 15454","TEST DEVICE CISCO ONS 15454 4473","Planned","1695051905623","1693581631826","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627294307","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST DEVICE CISCO ONS 15454 4473","2","inch","12.264","12.25","","","7","[""SDH""]","24462ffb-2735-4345-b28f-c9aefecd6ea2",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1101","OME 6500 7 Slot","TEST DEVICE 7156","Planned","1693582332976","1693582332756","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627296949","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST DEVICE 7156","2","inch","10.512","19.0","0","1","6","[""Ethernet""]","50f5b798-8f2e-4c65-941b-1d6359a9ba0f",""
"[""Plan"", ""Operational"", ""Non-plan"", ""Live/Plan merge""]","1101","OME 6500 7 Slot","DEVICE OME 6500 7 SLOT 4834","In Service","1695051905623","1693583703528","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627304986","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","DEVICE OME 6500 7 SLOT 4834","2","inch","10.512","19.0","0","1","6","[""Optical""]","53b7a678-e4cd-4adc-aac8-c914d0f8275e",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1101","OME 6500 7 Slot","TEST DEVICE #2114","Planned","1695051905623","1693584126073","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627306886","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST DEVICE #2114","2","inch","10.512","19.0","0","1","6","[""OTN""]","25483390-5885-4248-b259-71ac8421b967",""
"[""Plan"", ""Live/Plan merge""]","1130302","Generic CPE","GENERIC CPE 4435","Planned","1693584131434","1693584131263","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627306964","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","GENERIC CPE 4435","2","inch","0.0","19","3","0","0","[]","7397b4b8-e6ec-4a54-a6ca-33b1e74f35ca",""
"[""Plan"", ""Live/Plan merge""]","1141","Generic Device","GENERIC1 #3642","Planned","1693584688014","1693584687943","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627308416","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","GENERIC1 #3642","2","inch","1.752","23.0","0","0","1","[]","ac8c039c-594b-4949-b941-9f25dcf31f6a",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 1 ASR 9001 5659","Planned","1695051905623","1693585215581","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627310706","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 1 ASR 9001 5659","2","inch","3.504","17.42","0","1","2","[""OTN""]","fd6506b7-e11a-42d7-9937-05d0174a3ad1",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE1 ASR 9001 4627","Planned","1695051905623","1693585450885","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627311670","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE1 ASR 9001 4627","2","inch","3.504","17.42","0","1","2","[""OTN""]","23fcb4e5-eaa1-440c-a7f2-80c0ef508c8b",""
"[""Plan"", ""Operational"", ""Non-plan"", ""Live/Plan merge""]","1101","OME 6500 7 Slot","TEST DEVICE #4177","In Service","1695051905623","1693585761201","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627312405","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST DEVICE #4177","2","inch","10.512","19.0","0","1","6","[""Optical""]","b09beaab-d7ec-45a3-a9f1-28355a940c1d",""
"[""Plan"", ""Operational"", ""Non-plan"", ""Live/Plan merge""]","1101","OME 6500 7 Slot","TEST DEVICE #2523","In Service","1695051905623","1693585898193","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627312608","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST DEVICE #2523","2","inch","10.512","19.0","0","1","6","[""Optical""]","6a736e0a-0955-46c5-bc2c-38ba0ef5c290",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1667","Waveserver Ai","WS2 8768","Planned","1695051905623","1693585905859","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627312647","0.0","0.0","0.0","0.0","0.0","0.0","inch","23.62","WS2 8768","2","inch","1.752","17.4","0","1","1","[""Optical""]","752f3e88-738d-41a2-ba4c-17b822a4d0a7",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 1 ASR 9001 4192","Planned","1695051905623","1693586218888","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627313314","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 1 ASR 9001 4192","2","inch","3.504","17.42","0","1","2","[""OTN""]","5ec47538-b93e-48f1-802a-49f289e0dbfb",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 2 ASR 9001 9487","Planned","1695051905623","1693586348785","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442651627313468","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 2 ASR 9001 9487","2","inch","3.504","17.42","0","1","2","[""OTN""]","e699f23b-4a19-471e-a6f9-2f7976e05306",""
"[""Plan"", ""Operational"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 2 ASR 9001 511","In Service","1693580441166","1693579899360","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442720346764094","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 2 ASR 9001 511","2","inch","3.504","17.42","0","1","2","[""OTN""]","f128b774-788c-4cd5-995d-0c592e3e5489",""
"[""Plan"", ""Live/Plan merge""]","190873","Generic Antenna","GENERIC ANTENNA 155","Planned","1693579947381","1693579947310","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442720346764645","0.0","0.0","0.0","0.0","0.0","0.0","","5","GENERIC ANTENNA 155","2","inch","1","10","","","","[]","5d99110d-5c7b-4428-8182-17e258d512e1",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 2 ASR 9001 1893","Planned","1693580858040","1693580764334","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442720346768307","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 2 ASR 9001 1893","2","inch","3.504","17.42","0","1","2","[""OTN""]","5d9eff63-434c-440c-891b-3b4f528bb43f",""
"[""Plan"", ""Live/Plan merge""]","150556","Aviat ODU v2","AVIAT ODU V2-2 490","Planned","1693581311743","1693581141273","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442720346768795","0.0","0.0","0.0","0.0","0.0","0.0","inch","7.0","AVIAT ODU V2-2 490","2","inch","1.752","9.0","1","0","1","[]","b4197ef2-27aa-48fc-8906-6c8ee4eb9b06",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 1 ASR 9001 6566","Planned","1695051905623","1693581539923","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442720346770617","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 1 ASR 9001 6566","2","inch","3.504","17.42","0","1","2","[""OTN""]","4e154fca-f3b5-43de-b839-51ee17566aee",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","258688516053722165","Waveserver 5","WS1_OPTICS 1574","Planned","1695051905623","1693581683620","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442720346771175","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","WS1_OPTICS 1574","2","inch","3.504","18.88","","","","[""Optical""]","a5160b83-6bce-4d1d-a68d-a684a1ffcf6d",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1677","NCS 5516","TEST NCS 5516 5759","Planned","1695051905623","1693582716924","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442720346776326","0.0","0.0","0.0","0.0","0.0","0.0","inch","31.76","TEST NCS 5516 5759","2","inch","36.792","17.5","0","1","21","[""OTN""]","2128cb0a-dd63-4c09-984f-42585f85673a",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1105801","Generic PDH (ANSI) Mux","PDHANSIDEVICE","Planned","1695051905623","1693582786371","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442720346776556","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","PDHANSIDEVICE","2","inch","1.752","19","28","","1","[""PDH""]","4a3af502-e77f-46dc-a866-58f446ed94d4",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","TEST DEVICE 2 ASR 9001 1141","Planned","1693583755325","1693582831771","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_258442720346777114","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","TEST DEVICE 2 ASR 9001 1141","2","inch","3.504","17.42","0","1","2","[""OTN""]","b388dc5f-eecb-43dc-98d4-89c6c907de12",""
